hour,date,total ride count,difference from mean
0,2015-04-24,3669,0.207116411747251
0,2015-04-25,7288,2.198921464018111
0,2015-04-26,7908,2.5401536089222096
0,2015-04-27,1659,-0.8991361870547464
0,2015-04-28,1853,-0.7923635481653993
0,2015-04-29,2166,-0.620096352431556
0,2015-04-30,2698,-0.32729715712674873
0,2015-05-01,2986,-0.16878932207452224
0,2015-05-02,6327,1.6700116394167581
0,2015-05-03,5649,1.2968577777313082
0,2015-05-04,1740,-0.8545558584463077
0,2015-05-05,1831,-0.8044717855652223
0,2015-05-06,2750,-0.2986776869089856
0,2015-05-07,2550,-0.4087525723619207
0,2015-05-08,3512,0.12070762666669699
0,2015-05-09,6286,1.6474462878989062
0,2015-05-10,6192,1.5957110917360269
0,2015-05-11,1936,-0.7466824707024313
0,2015-05-12,2161,-0.6228482245678794
0,2015-05-13,2460,-0.45828627081574147
0,2015-05-14,3233,-0.03284683854014743
0,2015-05-15,4461,0.6430129581408739
0,2015-05-16,6914,1.9930814282211224
0,2015-05-17,8501,2.866525644290162
0,2015-05-18,2354,-0.5166259601057971
0,2015-05-19,2441,-0.46874338493377027
0,2015-05-20,2880,-0.22712901136457783
0,2015-05-21,3218,-0.04110245494911756
0,2015-05-22,3903,0.33590402772718503
0,2015-05-23,4504,0.6666790585132549
0,2015-05-24,4752,0.8031719164748944
0,2015-05-25,3434,0.0777784213400523
0,2015-05-26,2001,-0.7109081329302275
0,2015-05-27,2143,-0.6327549642586435
0,2015-05-28,2850,-0.2436402441825181
0,2015-05-29,4014,0.396995589153564
0,2015-05-30,7000,2.0404136289658847
0,2015-05-31,6833,1.9485010996126837
0,2015-06-01,1885,-0.7747515664929298
0,2015-06-02,2461,-0.4577358963884768
0,2015-06-03,2688,-0.3328009013993955
0,2015-06-04,3444,0.08328216561269906
0,2015-06-05,4667,0.756390090157397
0,2015-06-06,6922,1.99748442363924
0,2015-06-07,7274,2.1912162220364055
0,2015-06-08,2645,-0.35646700177177654
0,2015-06-09,2391,-0.49626210629700407
0,2015-06-10,2895,-0.2188733949556077
0,2015-06-11,2892,-0.2205245182374017
0,2015-06-12,4850,0.8571086103468326
0,2015-06-13,6598,1.819163109205485
